YYMMDD;TIME;LOCATION;DEPTH;MAG;EVALMODE;Latitude;Longitude
19970621;303308;Zuidlaarderveen;35;19;manual;53,94;6,752
19970709;6231206;Roswinkel;20;12;manual;52,833;7,53
19970717;2562971;Annen;30;-7;manual;53,61;6,717
19970723;6443604;Overschild;30;12;manual;53,247;6,753
19970818;4422877;Roswinkel;20;16;manual;52,834;7,5
19970818;5173225;Roswinkel;20;21;manual;52,834;7,5
19970822;10270885;Eexterveen;30;2;manual;53,63;6,813
19970823;15653;Eexterveen;30;6;manual;53,63;6,813
19970823;19393504;Lageland;30;16;manual;53,239;6,683
19970913;21304102;Loppersum;30;11;manual;53,338;6,747
19970914;19390259;Annen;30;4;manual;53,45;6,74
19971101;22562587;Uithuizen;30;14;manual;53,427;6,705
19971103;18124877;Donderen;30;14;manual;53,108;6,513
19971104;19550194;Wirdum;30;17;manual;53,328;6,793
19971115;16223214;Borgercompagnie;30;3;manual;53,104;6,822
19971120;17352104;Slochteren;30;12;manual;53,206;6,792
19971126;2353701;Overschild;30;2;manual;53,254;6,765
19971203;14471971;Tjuchem;30;18;manual;53,279;6,897
19971203;15010365;Siddeburen;30;13;manual;53,244;6,858
19971207;7024449;Zuidlaren;30;3;manual;53,75;6,702
19971223;6213211;Farmsum;30;13;manual;53,316;7,15
19980108;8114526;Amen;30;12;manual;52,937;6,597
19980122;10315515;Assen;35;11;manual;52,984;6,547
19980128;21330384;Roswinkel;20;27;manual;52,833;7,42
19980128;22340437;Roswinkel;20;20;manual;52,833;7,37
19980131;8393926;Overschild;30;7;manual;53,236;6,745
19980205;21114934;Meedhuizen;30;11;manual;53,291;6,935
19980215;7241642;Zeerijp;30;26;manual;53,356;6,773
19980329;6064052;Loppersum;30;13;manual;53,345;6,73
19980419;8001208;Loppersum;30;15;manual;53,339;6,723
19980419;15323572;Uithuizen;30;16;manual;53,425;6,682
19980428;2022527;Veendam;30;4;manual;53,107;6,865
19980430;1084172;Scharmer;30;9;manual;53,197;6,707
19980518;22034246;Uithuizermeeden;30;13;manual;53,404;6,732
19980530;9431514;Froombosch;30;9;manual;53,203;6,777
19980714;12120223;Roswinkel;20;33;manual;52,833;7,53
19980814;19251689;Froombosch;30;11;manual;53,192;6,803
19980824;4285800;Wirdum;30;24;manual;53,298;6,81
19980905;20361124;Emmen;30;19;manual;52,742;6,875
19981004;3283297;Zeerijp;30;10;manual;53,353;6,748
19981020;21320500;Deurze;30;8;manual;52,974;6,607
19981101;17482950;Eleveld;30;13;manual;52,955;6,572
19981212;7513952;Zandeweer;30;20;manual;53,392;6,698
19981226;23480219;Schildwolde;30;16;manual;53,215;6,83
19990111;9354153;Roswinkel;20;11;manual;52,837;7,57
19990113;19363703;'t Zandt;30;21;manual;53,359;6,777
19990131;4530059;Steendam;30;4;manual;53,255;6,825
19990305;19004023;Kiel-Windeweer;30;10;manual;53,101;6,792
19990306;5563996;Wirdum;30;16;manual;53,325;6,778
19990312;19064297;Roswinkel;20;13;manual;52,833;7,51
19990317;23142546;Roswinkel;20;15;manual;52,832;7,52
19990421;10595644;Appingedam;30;14;manual;53,312;6,84
19990422;22580290;Ureterp;30;10;manual;53,111;6,152
19990506;18135632;Roswinkel;20;14;manual;52,836;7,55
19990508;20401893;Stedum;30;16;manual;53,325;6,7
19990514;18302073;Roswinkel;20;17;manual;52,834;7,52
19990515;19283036;Roswinkel;20;14;manual;52,834;7,52
19990521;93886;Sappemeer;30;7;manual;53,164;6,815
19990607;20203138;Steenbergen;30;11;manual;53,97;6,402
19990707;9031136;Grolloo;30;13;manual;52,95;6,627
19990810;23241831;Startenhuizen;30;14;manual;53,382;6,727
19990811;1180096;Westeremden;30;7;manual;53,346;6,702
19990907;17162354;Nieuw Annerveen;30;15;manual;53,68;6,795
19990907;19475109;Eexterveen;30;5;manual;53,57;6,813
19991018;18560954;Zuidlaren;30;4;manual;53,78;6,718
19991018;18575540;Schipborg;30;3;manual;53,6;6,678
19991022;13191677;Ekehaar;30;17;manual;52,941;6,592
19991208;5392847;Sappemeer;30;3;manual;53,179;6,802
19991209;9380005;Schildwolde;30;11;manual;53,246;6,803
19991209;9521296;Froombosch;30;10;manual;53,183;6,798
19991210;6133201;Sappemeer;30;14;manual;53,175;6,792
19991220;12292969;Westeremden;30;15;manual;53,352;6,71
19991221;4523774;Froombosch;30;10;manual;53,19;6,765
19991224;23524112;Farmsum;30;18;manual;53,32;6,947
19991231;11005533;Roswinkel;20;28;manual;52,835;7,48
20000107;14190676;Roswinkel;20;11;manual;52,834;7,43
20000110;4180746;Schipborg;30;6;manual;53,77;6,655
20000212;19481061;Appingedam;35;17;manual;53,321;6,822
20000319;16133608;Westeremden;30;16;manual;53,343;6,698
20000327;10232203;Roswinkel;20;8;manual;52,835;7,45
20000401;3135138;Dalen;30;13;manual;52,685;6,75
20000408;11072968;Groningen;30;12;manual;53,205;6,632
20000408;21131780;Losdorp;30;11;manual;53,37;6,845
20000414;23074779;Garrelsweer;30;12;manual;53,308;6,772
20000516;1111473;Eppenhuizen;30;19;manual;53,38;6,71
20000609;17034728;Wildervank;30;11;manual;53,87;6,813
20000611;4122013;Zeerijp;30;20;manual;53,348;6,763
20000612;15482301;Loppersum;30;25;manual;53,34;6,742
20000615;1422495;Steendam;30;25;manual;53,28;6,847
20000706;23095672;Zeerijp;30;12;manual;53,34;6,752
20000710;15054912;Vries;30;10;manual;53,64;6,575
20000713;8415243;Vries;30;11;manual;53,79;6,565
20000716;1341200;'t Zandt;30;15;manual;53,367;6,782
20000922;17051677;Wildervank;30;10;manual;53,76;6,82
20000922;20520640;Nieuw Annerveen;30;22;manual;53,82;6,793
20000923;3474743;Nieuw Annerveen;27;10;manual;53,81;6,788
20001025;18103479;Roswinkel;23;32;manual;52,832;7,52
20001112;2163627;Deurze;30;3;manual;52,977;6,608
20001129;16064839;Laar (Duitsland);30;16;manual;52,626;6,742
20001223;5200617;Borgercompagnie;30;4;manual;53,108;6,812
20001226;16335764;Meedhuizen;30;14;manual;53,294;6,91
20010226;11390731;Wildervank;30;8;manual;53,72;6,822
20010318;4142068;Lageland;30;16;manual;53,243;6,692
20010428;10000829;Geelbroek;30;15;manual;52,948;6,567
20010428;10005551;Eleveld;30;11;manual;52,959;6,575
20010428;23001588;Roswinkel;20;24;manual;52,833;7,53
20010517;7481547;Haren;30;14;manual;53,173;6,612
20010610;3353320;Annen;30;5;manual;53,49;6,753
20010619;6495557;Wildervank;30;10;manual;53,79;6,82
20010621;3504905;Garrelsweer;30;17;manual;53,295;6,8
20010807;17090150;Veendam;30;3;manual;53,97;6,845
20010909;6581252;Bergen;20;35;manual;52,651;4,713
20010910;4301543;Bergen;20;32;manual;52,653;4,712
20011010;6410936;Schoorl;29;27;manual;52,682;4,648
20011010;14064335;Slochteren;30;10;manual;53,239;6,763
20011010;14065724;Slochteren;30;8;manual;53,24;6,763
20011112;14331537;Waddenzee (nabij Dornum);30;14;manual;53,694;7,377
20011204;19083106;Froombosch;30;2;manual;53,204;6,785
20011204;19083783;Froombosch;30;0;manual;53,204;6,785
20011204;22333796;Froombosch;30;10;manual;53,21;6,743
20011211;15171762;Slochteren;30;7;manual;53,217;6,788
20011220;1254298;Wildervank;30;5;manual;53,81;6,838
20011225;23281171;Uithuizen;30;11;manual;53,397;6,682
20011226;12365307;Eexterveen;30;-2;manual;53,56;6,805
20020205;10303974;Stedum;30;22;manual;53,319;6,717
20020214;17010474;Roswinkel;20;21;manual;52,831;7,35
20020227;3521403;Oosterwijtwerd;30;11;manual;53,337;6,827
20020317;2162790;Donderen;30;4;manual;53,93;6,543
20020414;1114449;Nieuw Annerveen;30;17;manual;53,72;6,787
20020510;10334895;Bierum;30;17;manual;53,378;6,857
20020511;10072322;Ekehaar;30;15;manual;52,943;6,58
20020522;13381304;Eleveld;30;10;manual;52,956;6,585
20020628;3064738;Smilde;30;18;manual;52,968;6,45
20020718;5311683;Froombosch;30;16;manual;53,188;6,783
20020727;15010863;Geelbroek;30;16;manual;52,947;6,565
